date,product,category,quantity,unit_price,sales
2026-04-01,コーヒー,ドリンク,12,350,4200
2026-04-02,カフェラテ,ドリンク,9,450,4050
2026-04-03,紅茶,ドリンク,7,400,2800
2026-04-04,サンドイッチ,フード,8,650,5200
2026-04-05,ケーキ,デザート,10,500,5000
2026-04-06,スコーン,デザート,6,300,1800
2026-04-07,コーヒー,ドリンク,15,350,5250
2026-04-08,カフェラテ,ドリンク,11,450,4950
2026-04-09,紅茶,ドリンク,5,400,2000
2026-04-10,サンドイッチ,フード,10,650,6500
2026-04-11,ケーキ,デザート,12,500,6000
2026-04-12,スコーン,デザート,9,300,2700
2026-04-13,コーヒー,ドリンク,14,350,4900
2026-04-14,カフェラテ,ドリンク,13,450,5850
2026-04-15,サンドイッチ,フード,7,650,4550
2026-04-16,ケーキ,デザート,9,500,4500
